winrate,opening_kills,multikills,5v4,4v5,trades,grenades_damage,flash_assists
64.0,57.9,1.0,84.5,35.9,24.4,19.0,0.0
59.7,60.2,0.9,80.6,28.0,23.7,17.3,0.0
60.9,55.0,0.96,79.2,38.4,22.1,17.6,0.0
57.9,56.1,0.96,79.2,30.8,22.9,11.4,0.0
57.5,55.2,0.98,76.9,33.6,20.5,16.7,0.0
57.2,54.3,0.88,74.7,36.4,20.3,11.6,0.0
56.9,55.4,0.91,77.5,30.9,21.3,21.1,0.0
56.2,53.2,0.94,79.4,29.8,19.8,17.0,0.0
56.6,54.8,0.95,76.4,32.5,19.8,19.6,0.0
54.3,57.9,0.89,75.0,25.2,17.0,17.5,0.0
54.8,53.1,0.89,77.9,28.8,19.9,18.7,0.0
56.6,53.9,0.9,76.9,33.0,22.3,11.6,0.0
55.2,47.9,0.93,79.6,32.3,21.6,11.9,0.0
57.0,50.7,0.86,78.3,34.8,22.2,22.2,0.0
56.2,53.0,0.89,78.0,31.3,19.9,15.2,0.0
56.1,55.1,0.9,73.6,34.6,21.9,26.7,0.0
52.8,55.2,0.87,73.6,27.3,18.5,12.6,0.0
52.3,52.5,0.86,74.0,28.4,19.9,10.7,0.0
52.9,52.7,0.85,73.7,29.8,21.8,16.8,0.0
53.8,53.5,0.83,77.8,26.2,22.5,13.3,0.0
54.8,50.9,0.89,77.3,31.1,19.6,12.6,0.0
52.3,52.3,0.94,75.9,26.4,22.3,16.2,0.0
51.5,54.3,0.89,73.2,25.9,19.9,15.3,0.0
51.5,52.9,0.85,74.3,26.1,18.8,13.5,0.0
54.3,50.0,0.8,75.0,33.5,19.1,14.4,0.0
52.2,53.0,0.85,73.8,27.9,20.7,15.6,0.0
53.4,51.3,0.84,74.0,31.7,19.5,19.6,0.0
51.5,50.6,0.81,75.2,27.5,19.1,16.2,0.0
50.5,49.5,0.85,75.5,25.9,18.8,12.7,0.0
48.7,50.0,0.8,73.5,23.4,20.2,20.6,0.0
50.6,49.5,0.83,74.0,27.7,18.8,20.0,0.0
49.7,50.3,0.83,74.4,24.7,20.3,13.2,0.0
47.8,46.6,0.82,74.4,24.6,18.4,8.1,0.0
51.0,51.2,0.87,72.9,28.2,21.3,22.5,0.0
50.0,48.4,0.83,70.5,31.1,16.5,18.9,0.0
50.8,47.7,0.87,78.2,25.7,16.7,12.7,0.0
45.1,47.5,0.81,68.0,24.4,18.8,11.6,0.0
47.4,50.3,0.84,67.4,27.2,21.6,10.3,0.0
46.4,56.7,0.81,64.9,22.1,19.3,24.3,0.0
46.7,51.8,0.78,70.4,21.2,17.6,18.1,0.0
47.1,45.2,0.84,72.1,26.5,22.0,16.4,0.0
49.4,48.5,0.79,71.2,28.6,18.1,14.0,0.0
45.9,44.7,0.78,71.1,25.5,15.6,13.1,0.0
43.8,47.0,0.74,70.6,20.0,17.7,13.7,0.0
45.7,44.2,0.8,70.3,26.4,18.0,10.0,0.0
41.8,47.0,0.81,68.9,17.8,18.2,11.2,0.0
38.9,43.4,0.69,64.2,19.6,19.1,10.7,0.0
38.6,45.4,0.69,63.2,18.1,17.0,15.5,0.0
40.5,42.0,0.74,63.9,23.5,16.0,15.9,0.0
37.7,40.6,0.66,64.0,19.4,17.4,12.9,0.0
36.6,42.9,0.65,64.6,15.4,14.8,13.3,0.0
64.1,59.7,0.95,80.3,40.1,20.7,10.6,0.0
59.1,58.1,0.98,77.9,32.9,21.1,14.0,0.0
60.3,52.4,0.99,78.4,40.5,23.9,16.7,0.0
58.5,53.1,0.93,79.1,35.2,22.8,12.1,0.0
58.6,56.4,0.87,81.1,29.5,19.9,26.5,0.0
55.1,56.3,0.87,72.8,31.9,19.2,14.8,0.0
56.8,53.1,0.91,78.4,32.4,21.7,19.2,0.0
56.1,54.2,0.91,78.4,29.6,20.1,21.8,0.0
55.5,53.5,0.89,73.4,35.0,19.4,15.0,0.0
56.3,53.1,0.89,73.7,36.5,20.0,11.2,0.0
55.7,54.4,0.88,78.7,28.4,21.9,16.1,0.0
54.1,51.6,0.89,74.9,32.1,20.4,15.9,0.0
56.4,51.7,0.89,75.6,35.9,20.7,20.4,0.0
53.3,52.1,0.87,75.3,29.3,19.1,17.9,0.0
52.7,47.9,0.86,80.6,26.9,22.6,15.2,0.0
53.7,50.5,0.85,74.8,32.0,19.5,14.8,0.0
